epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
25,7669.67,0.73016,0.32784,0.00129,0.96361,0.91885,0.96594,0.85161,0.65625,0.29783,0.00169,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,7976.34,0.73457,0.33723,0.00129,0.95526,0.91657,0.96414,0.85264,0.63713,0.28138,0.00167,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,8282.09,0.69758,0.30992,0.00125,0.94087,0.9434,0.97011,0.86116,0.63593,0.28071,0.00164,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,8584.53,0.71055,0.31768,0.00129,0.96606,0.90786,0.96457,0.85852,0.62913,0.27678,0.00164,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,8885.46,0.70051,0.3101,0.00124,0.97542,0.91604,0.96719,0.86428,0.63368,0.27606,0.00163,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,9188.81,0.68843,0.29937,0.00122,0.94574,0.93296,0.96961,0.86059,0.62301,0.26609,0.00161,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,9492.66,0.68709,0.3024,0.0012,0.96057,0.94307,0.97007,0.86892,0.61896,0.25965,0.00158,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,9798.28,0.68536,0.29919,0.00118,0.98279,0.93098,0.97431,0.86924,0.62206,0.26662,0.00161,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,10102.5,0.68236,0.29735,0.00118,0.9655,0.93958,0.97012,0.87288,0.61706,0.26858,0.00158,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,10411.9,0.66976,0.29304,0.00122,0.96719,0.93806,0.97129,0.87043,0.60475,0.25357,0.00157,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,10719.5,0.67724,0.28778,0.00117,0.96704,0.93582,0.96793,0.87177,0.60179,0.2553,0.00153,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,11028.7,0.66716,0.28244,0.00116,0.95896,0.93418,0.96924,0.86701,0.60114,0.25201,0.00153,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,11332.6,0.65517,0.27979,0.00113,0.97216,0.94407,0.97514,0.87603,0.59122,0.24264,0.00151,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,11643.9,0.64825,0.28065,0.00114,0.96874,0.93832,0.97445,0.87754,0.58856,0.24722,0.00148,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,11948.5,0.66996,0.28139,0.00115,0.98177,0.9305,0.97166,0.87838,0.59354,0.25243,0.0015,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,12257.1,0.63498,0.26623,0.00112,0.97455,0.9347,0.97364,0.87582,0.58902,0.24186,0.0015,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,12561.3,0.6479,0.27568,0.00114,0.96384,0.9487,0.97292,0.88268,0.57743,0.23485,0.00148,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,12868.9,0.6454,0.26936,0.00114,0.9744,0.94613,0.97356,0.87991,0.5839,0.23656,0.00147,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,13173.2,0.63538,0.26724,0.00108,0.97176,0.94644,0.97506,0.88616,0.57234,0.23812,0.00145,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,13478.2,0.63509,0.26407,0.00108,0.96374,0.94607,0.97535,0.88437,0.56381,0.2314,0.00143,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,13786.4,0.62416,0.26187,0.00106,0.9782,0.94673,0.97603,0.88662,0.55684,0.22641,0.00141,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,14096.5,0.62974,0.2595,0.00107,0.97849,0.9459,0.97578,0.88801,0.56156,0.22693,0.00142,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,14401.4,0.61675,0.26429,0.00106,0.98264,0.94574,0.97723,0.8916,0.55114,0.22419,0.00139,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,14713.7,0.62034,0.25307,0.00107,0.98792,0.95562,0.97843,0.89191,0.55059,0.21774,0.00139,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,15022.3,0.613,0.25519,0.0011,0.98538,0.93802,0.97372,0.88348,0.55751,0.22662,0.00142,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,15326.1,0.60612,0.25577,0.00103,0.97551,0.948,0.9766,0.88841,0.54594,0.22007,0.00139,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
